Galaxy,Name,Ref,Age,,logM_phot,logMdyn,r_core,r_eff,gamma,veldisp1D,rvir,tdyn,agetdyn,Distance,limit_mass
MW,Lower-Cen-Crux,4,11.50, ,3.30, , ,15.00, , ,25.46,42.89,0.27,0.15,0.01
MW,Upper-Cen-Crux,4,14.50, ,3.60, , ,22.10, , ,37.52,54.30,0.27,0.15,0.01
MW,ONC,13,1.00, ,3.65, ,0.20,2.00,2.00, ,3.40,1.40,0.72,0.4,0.01
MW,Ori-Ia,4,11.40, ,3.70, , ,16.60, , ,28.18,31.50,0.36,0.4,0.01
MW,Ori-Ib,4,1.70, ,3.60, , ,6.30, , ,10.70,8.26,0.21,0.4,0.01
MW,Ori-Ic,4,4.60, ,3.80, , ,12.50, , ,21.22,18.35,0.25,0.4,0.01
MW,Cyg OB,4,2.50, ,4.40, , ,5.20, , ,8.83,2.47,1.01,1.4,0.01
MW,NGC2244,4,2.00, ,3.90, , ,5.60, , ,9.51,4.90,0.41,1.4,0.01
MW,NGC6611,4,3.00, ,4.40, , ,5.90, , ,10.02,2.98,1.01,1.7,0.01
MW,Westerlund 2,4,2.00, ,4.00, , ,0.80, , ,1.36,0.24,8.48,1.8,0.01
MW,IC1805,4,2.00, ,4.20, , ,12.50, , ,21.22,11.58,0.17,1.9,0.01
MW,NGC7380,4,2.00, ,3.80, , ,6.50, , ,11.03,6.88,0.29,2.2,0.01
MW,Trumpler-14,10,2.00, ,4.00, ,0.14,0.50,2.00, ,0.85,0.12,17.15,2.7,0.01
MW,NGC3603,5,2.00, ,4.10, ,0.15,0.70,2.00, ,1.19,0.17,11.62,3.6,0.01
MW,Westerlund 1,11,3.50, ,4.50,4.80,0.40,1.00,4.00,5.80,1.74,0.19,18.27,5.2,0.01
MW,Arches,1,2.00, ,4.30, ,0.20,0.40, , ,0.68,0.06,33.86,8.5,0.04
MW,Quintuplet,6,4.00, ,4.00, ,1.00,2.00, , ,3.40,0.93,4.29,8.5,0.04
MW,H Per,4,12.80, ,4.20, , ,2.10, , ,3.57,0.80,16.06,2,0.01
MW,Chi Per,4,12.80, ,4.10, , ,2.50, , ,4.24,1.16,11.02,2,0.01
MW,RSGC-01,6,12.00, ,4.50,4.70, ,1.50, ,3.70,2.55,0.34,35.22,6,0.02
MW,RSGC-02,8,17.00, ,4.60,4.80, ,2.70, ,3.40,4.58,0.73,23.18,6,0.02
MW,RSGC-03,9,18.00, ,4.50, , ,5.00, , ,8.49,2.07,8.68,6,0.02
LMC,R136,"1,2,3,4",3.0, 11.74,4.78, ,0.10,1.70,1.50, ,2.89,0.30,10.14,50,0.1
LMC,NGC1818,"2,3",25.1, 9.62,4.42, ,2.07,5.39,3.30, ,9.76,2.80,8.96,50,0.1
LMC,NGC1847,"2,3",26.3, 9.67,4.44, ,1.73,32.58,2.05, ,10.33,2.98,8.82,50,0.1
LMC,NGC1850,"2,3",31.6, 10.52,4.86,5.22,2.69,11.25,2.05,3.00,3.56,0.37,84.83,50,0.1
LMC,NGC2004,"2,3",20.0, 9.60,4.36, ,1.41,5.27,2.90, ,9.81,3.03,6.59,50,0.1
LMC,NGC2100,"2,3",15.8, 9.77,4.36, ,0.99,4.41,2.30, ,6.32,1.57,10.12,50,0.1
LMC,NGC2136,"2,3",100.0, 8.60,4.30, ,1.59,3.42,3.50, ,6.10,1.59,62.85,50,0.1
LMC,NGC2157,"2,3",39.8, 9.10,4.31,4.90,1.99,5.39,3.05,2.80,9.95,3.27,12.16,50,0.1
LMC,NGC2164,"2,3",50.1, 8.65,4.18,5.15,1.48,4.76,2.95,4.30,8.84,3.19,15.72,50,0.1
LMC,NGC2214,"2,3",39.8, 8.40,4.03,5.28,1.83,8.13,2.45,3.90,14.24,7.74,5.14,50,0.1
LMC,NGC1711,"2,3",50.1, 8.82,4.24, ,1.91,5.19,2.70, ,9.70,3.42,14.66,50,0.1
SMC,NGC330,"2,3",25.1, 9.94,4.56,5.64,2.34,6.11,2.55,6.00,11.17,2.92,8.60,63,0.15
SMC,NGC346,11,3.0,-,5.60, , ,9.00, , ,15.28,1.41,2.13,63,0.15
NGC6822,Hubble-IV,"8,9",25.1, 8.00,4.00, ,0.40,2.00, , ,3.40,0.93,26.93,500,0.7
M31,KW246,5,75.9, 7.80,4.19, , ,3.20, , ,5.43,1.52,50.01,780,0.9
M31,B257D,6,79.4, 8.84,4.45, ,3.16,15.14, , ,25.70,11.57,6.86,780,0.9
M31,B318,6,70.8, 8.76,4.38, ,0.19,6.61, , ,11.22,3.62,19.57,780,0.9
M31,B327,6,50.1, 8.95,4.38, ,0.20,4.47, , ,7.59,2.01,24.91,780,0.9
M31,B448,6,79.4, 9.20,4.58, ,0.20,16.22, , ,27.54,11.05,7.19,780,0.9
M31,Vdb0,7,25.1, 10.00,4.85, ,1.40,7.40, , ,12.56,2.49,10.07,780,0.9
M31,KW044/B325,5,58.9, 9.20,4.59, , ,10.00, , ,16.98,5.29,11.14,780,0.9
M31,KW120,5,87.1, 8.80,4.57, , ,2.60, , ,4.41,0.72,121.43,780,0.9
M31,KW208,5,56.2, 7.70,4.01, , ,2.90, , ,4.92,1.61,34.93,780,0.9
M31,KW272,5,53.7, 9.00,4.50, , ,9.00, , ,15.28,5.01,10.73,780,0.9
M31,B015D,6,70.8, 9.71,4.76, ,0.24,16.60, , ,28.18,9.30,7.61,780,0.9
M31,B040,6,79.4, 9.00,4.50, ,0.55,12.88, , ,21.87,8.57,9.27,780,0.9
M31,B043,6,79.4, 8.81,4.43, ,0.72,3.98, , ,6.76,1.60,49.77,780,0.9
M31,B066,6,70.8, 8.43,4.25, ,0.38,6.76, , ,11.48,4.35,16.29,780,0.9
M31,KW249,5,5.0, 10.50,4.30, , ,13.50, , ,22.92,11.58,0.43,780,0.9
M31,KW258,5,5.0, 9.90,4.05, , ,3.40, , ,5.77,1.95,2.57,780,0.9
M33,NGC595,10,4.0, 11.40,4.50, , ,26.90, , ,45.67,25.87,0.15,860,1
M33,NGC604,10,3.5, 12.60,5.00, , ,28.40, , ,48.21,15.78,0.22,860,1
NGC1569,A,"10,11,12",12.02, 14.10,6.20,5.52, ,2.30, ,15.70,3.78,0.15,77.49,2630,2.5
NGC1569,C,13,3.02, ,5.16, , ,2.90, , ,4.50,0.24,15.13,2630,2.5
NGC1569,B,14,19.95, 12.85,5.74,5.64,0.70,2.10,2.50,9.60,8.83,0.17,49.47,2630,2.5
NGC1569,30,"11,12",91.20, 11.15,5.55, ,0.75,2.50,2.50, ,13.58,0.71,33.37,2630,2.5
NGC4214,VI,13,10.96, ,4.93, , ,35.90, , ,142.43,34.58,0.29,2950,3
NGC4214,V,13,10.96, ,5.73, , ,83.90, , ,60.95,24.31,0.20,2950,3
NGC4214,VII,13,10.96, ,5.33, , ,40.40, , ,68.59,18.31,0.38,2950,3
NGC4214,I-A,13,3.47, ,5.44, , ,16.50, , ,28.69,1.19,1.55,2950,3
NGC4214,I-B,13,3.47, ,5.40, , ,33.00, , ,9.85,1.46,0.52,2950,3
NGC4214,I-D,13,8.91, ,5.30, , ,15.30, , ,6.79,0.54,1.57,2950,3
NGC4214,II-C,13,2.00, ,4.86, , ,21.70, , ,23.43,7.38,0.51,2950,3
NGC2403,I-B,13,6.03, ,4.82, , ,26.30, , ,50.93,15.81,0.39,3260,3.2
NGC2403,I-C,13,6.03, ,4.42, , ,19.60, , ,28.01,4.21,0.38,3260,3.2
NGC2403,I-A,13,6.03, ,5.06, , ,20.60, , ,56.02,12.47,0.75,3260,3.2
NGC2403,II,13,4.47, ,5.35, , ,11.80, , ,25.97,4.42,2.35,3260,3.2
NGC2403,IV,13,4.47, ,5.07, , ,30.00, , ,36.84,12.39,0.42,3260,3.2
NGC5253,I,13,11.48, ,5.38, , ,4.00, , ,44.65,17.30,13.11,3560,3.4
NGC5253,VI,13,10.96, ,4.93, , ,3.10, , ,33.27,17.64,11.41,3560,3.4
NGC5253,IV,13,3.47, ,4.72, , ,13.80, , ,5.26,0.62,0.89,3560,3.4
M82,MGG-9,"3,4,5",9.55, 13.42,5.92,6.36, ,2.60, ,15.90,4.41,0.15,46.04,3700,3.6
M82,A1,"6,5",6.31, 14.85,5.82,5.93,1.30,3.00,3.00,13.40,5.77,0.31,28.36,3700,3.6
M82,F,7,60.26, 14.50,6.70,6.08, ,2.80,3.00,13.40,3.90,0.09,99.10,3700,3.6
NGC4449,N-1,13,10.96, ,6.57, , ,16.90, , ,2.04,0.11,5.92,3980,3.9
NGC4449,N-2,13,3.02, ,5.00, , ,5.80, , ,3.57,0.36,4.45,3980,3.9
NGC5236,805,16,12.59, 12.17,5.29,5.62,0.70,2.80,2.60,8.10,4.92,0.43,17.80,4850,4.6
NGC5236,502,16,100.00, 11.57,5.65,5.71,0.70,7.60,2.14, ,34.97,9.10,25.27,4850,4.6
NGC1705,1,7,15.85, 13.80,5.90,5.68, ,1.60, ,11.40,6.11,0.26,96.15,5100,5
NGC6946,1447,16,11.22, 13.19,5.64,6.25,1.15,10.00,2.10,8.80,20.03,2.83,22.57,5380,6
M51,3cl-a,2,15.85, 11.10,5.04, ,1.60,5.20,2.00, ,7.13,0.52,6.10,7900,10
M51,3cl-b,2,5.01, 12.25,5.91, ,0.86,2.30,2.60, ,8.83,1.18,46.07,7900,10
M51,a1,2,5.01, 12.15,5.47, ,0.65,4.20,1.90, ,5.55,0.24,12.82,7900,10
NGC1487,2,9,8.51, ,5.20,5.30,0.71,1.20, ,11.10,5.19,0.40,63.64,8900,12
NGC1487,1,9,8.32, ,5.18,6.08,0.97,2.30, ,13.70,2.72,0.07,23.40,8900,12
NGC1487,3,9,8.51, ,4.88,5.78,0.71,2.10, ,14.30,5.18,0.08,19.02,8900,12
NGC1140,1,8,5.01, 14.80,6.04,7.00, ,8.00, ,24.00,5.86,0.32,9.40,18100,23
NGC4038,S2-1,9,8.91, ,5.47,5.95,0.60,3.70, ,11.50,10.19,0.90,16.09,21500,33
NGC4038,W99-1,15,8.13, 14.00,5.86,5.81, ,3.60, ,9.10,13.58,0.46,26.11,21500,33
NGC4038,W99-16,15,10.00, 12.70,5.46,6.51, ,6.00, ,15.80,2.38,0.08,7.76,21500,33
NGC4038,W99-2,9,6.61, ,6.42,6.48,1.30,8.00, ,14.10,6.11,0.27,14.82,21500,33
NGC4038,W99-15,9,8.71, ,5.70,6.00, ,1.40, ,20.20,6.11,0.32,89.94,21500,33
NGC4038,S1-1,9,7.94, ,5.85,6.00,0.58,3.60, ,12.50,1.53,0.05,25.77,21500,33
NGC4038,S1-2,9,8.32, ,5.70,5.90,0.72,3.60, ,11.50,6.11,0.17,21.75,21500,33
NGC4038,S1-5,9,8.51, ,5.48,5.60,1.35,0.90, ,12.00,6.28,0.43,135.26,21500,33
NGC4038,2000-1,9,8.51, ,6.23,6.38,0.42,3.60, ,20.00,4.24,0.21,40.09,21500,33
NGC4038,S2-2,9,8.91, ,5.60,5.60,0.40,2.50, ,9.50,5.09,0.35,33.64,21500,33
NGC4038,S2-3,9,8.91, ,5.38,5.40,0.60,3.00, ,7.00,3.90,0.30,19.86,21500,33
